"archive_path","uncompressed_bytes","compressed_bytes","extension","crc32","review_required","review_reasons"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed1__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251220-093707/arch_probs_stage1_reduce_local.npy","576","527",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed1__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251220-093707/arch_probs_stage2_normal_global.npy","576","395",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed1__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251220-093707/arch_probs_stage2_normal_local.npy","408","363",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed1__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251220-093707/arch_probs_stage2_reduce_global.npy","576","391",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed1__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251220-093707/arch_probs_stage2_reduce_local.npy","408","361",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed1__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251220-093707/arch_probs_stage3_normal_global.npy","576","286",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed1__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251220-093707/arch_probs_stage3_normal_local.npy","296","246",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed1__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251220-093707/arch_probs_stage3_reduce_global.npy","576","279",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed1__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251220-093707/arch_probs_stage3_reduce_local.npy","296","247",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed1__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251220-093707/final_ops_normal.csv","212","117",".csv","","True","review_extension:.csv;generated_or_historical_output"
